CustomerType,orderDate,grossSales,numberOfOrders
New Customer Order,2013-05-10,1368.258427,10
New Customer Order,2013-05-11,3455.243446,10
New Customer Order,2013-05-12,3923.689139,26
New Customer Order,2013-05-13,1472.191011,10
New Customer Order,2013-05-14,1815.074906,14
New Customer Order,2013-05-15,2359.456929,14
New Customer Order,2013-05-16,3443.071161,20
New Customer Order,2013-05-17,3398.595506,17
New Customer Order,2013-05-18,1469.475655,6
New Customer Order,2013-05-19,2938.576779,15
New Customer Order,2013-05-20,3189.981273,17
New Customer Order,2013-05-21,2620.131086,19
New Customer Order,2013-05-22,1836.610487,14
New Customer Order,2013-05-23,1473.689139,9
New Customer Order,2013-05-24,2791.853933,15
New Customer Order,2013-05-25,3407.593633,19
New Customer Order,2013-05-26,3350.11236,17
New Customer Order,2013-05-27,2319.962547,16
New Customer Order,2013-05-28,2373.595506,15
New Customer Order,2013-05-29,3383.820225,16
New Customer Order,2013-05-30,3263.389513,18
New Customer Order,2013-05-31,2946.254682,18
New Customer Order,2013-06-01,2402.902622,9
New Customer Order,2013-06-02,2623.32397,14
New Customer Order,2013-06-03,3482.219101,11
New Customer Order,2013-06-04,3791.666667,24
New Customer Order,2013-06-05,1451.498127,12
New Customer Order,2013-06-06,890.1685393,6
New Customer Order,2013-06-07,2080.149813,11
New Customer Order,2013-06-08,231.3764045,2
New Customer Order,2013-06-09,4697.003745,36
New Customer Order,2013-06-10,4600.374532,21
New Customer Order,2013-06-11,1328.370787,5
New Customer Order,2013-06-12,1072.097378,5
New Customer Order,2013-06-13,2533.2397,14
New Customer Order,2013-06-14,2236.797753,8
New Customer Order,2013-06-15,1868.913858,11
New Customer Order,2013-06-16,4747.790262,27
New Customer Order,2013-06-17,3289.06367,20
New Customer Order,2013-06-18,2603.464419,15
New Customer Order,2013-06-19,992.2284644,7
New Customer Order,2013-06-20,2754.88764,15
New Customer Order,2013-06-21,2603.277154,19
New Customer Order,2013-06-22,514.1385768,6
New Customer Order,2013-06-23,7960.393258,45
New Customer Order,2013-06-24,2170.318352,14
New Customer Order,2013-06-25,2008.595506,18
New Customer Order,2013-06-26,1460.608614,8
New Customer Order,2013-06-27,1868.913858,13
New Customer Order,2013-06-28,2533.426966,21
New Customer Order,2013-06-29,1383.801498,11
New Customer Order,2013-06-30,4460.674157,24
New Customer Order,2013-07-01,2982.022472,18
New Customer Order,2013-07-02,1491.385768,13
New Customer Order,2013-07-03,1780.617978,12
New Customer Order,2013-07-04,2183.614232,18
New Customer Order,2013-07-05,2582.677903,18
New Customer Order,2013-07-06,4010.898876,16
New Customer Order,2013-07-07,6616.020599,44
New Customer Order,2013-07-08,3318.445693,24
New Customer Order,2013-07-09,3417.378277,23
New Customer Order,2013-07-10,2220.71161,19
New Customer Order,2013-07-11,2355.05618,17
New Customer Order,2013-07-12,3538.483146,12
New Customer Order,2013-07-13,1722.378277,9
New Customer Order,2013-07-14,3432.209738,34
New Customer Order,2013-07-15,2342.055604,19
New Customer Order,2013-07-16,3459.432234,32
New Customer Order,2013-07-17,1853.113553,19
New Customer Order,2013-07-18,4033.424908,38
New Customer Order,2013-07-19,2750.18315,26
New Customer Order,2013-07-20,2541.034799,18
New Customer Order,2013-07-21,5508.333333,44
New Customer Order,2013-07-22,2004.212454,19
New Customer Order,2013-07-23,2094.450549,22
New Customer Order,2013-07-24,1523.809524,19
New Customer Order,2013-07-25,1235.25641,14
New Customer Order,2013-07-26,1419.230769,11
New Customer Order,2013-07-27,605.03663,11
New Customer Order,2013-07-28,2292.582418,22
New Customer Order,2013-07-29,1294.230769,15
New Customer Order,2013-07-30,1180.677656,15
New Customer Order,2013-07-31,1710.164835,14
New Customer Order,2013-08-01,1298.076923,16
New Customer Order,2013-08-02,1244.505495,10
New Customer Order,2013-08-03,1439.377289,13
New Customer Order,2013-08-04,1144.871795,11
New Customer Order,2013-08-05,867.8571429,7
New Customer Order,2013-08-06,953.2967033,11
New Customer Order,2013-08-07,740.1098901,11
New Customer Order,2013-08-08,2537.545788,23
New Customer Order,2013-08-09,937.5457875,8
New Customer Order,2013-08-10,813.003663,10
New Customer Order,2013-08-11,2093.864469,14
New Customer Order,2013-08-12,419.5970696,7
New Customer Order,2013-08-13,1418.580586,13
New Customer Order,2013-08-14,928.6355311,8
New Customer Order,2013-08-15,1848.562271,9
New Customer Order,2013-08-16,2692.408425,15
New Customer Order,2013-08-17,894.3820225,7
New Customer Order,2013-08-18,1837.237828,12
New Customer Order,2013-08-19,1170.374532,11
New Customer Order,2013-08-20,3444.307116,20
New Customer Order,2013-08-21,2125.758427,12
New Customer Order,2013-08-22,3821.544944,18
New Customer Order,2013-08-23,1527.940075,10
New Customer Order,2013-08-24,1119.812734,10
New Customer Order,2013-08-25,5979.94382,25
New Customer Order,2013-08-26,818.164794,7
New Customer Order,2013-08-27,1705.262172,13
New Customer Order,2013-08-28,3234.101124,17
New Customer Order,2013-08-29,4860.187266,23
New Customer Order,2013-08-30,4329.269663,21
New Customer Order,2013-08-31,2757.200375,21
New Customer Order,2013-09-01,2765.393258,14
New Customer Order,2013-09-02,1740.440075,8
New Customer Order,2013-09-03,3957.434457,24
New Customer Order,2013-09-04,2170.009363,13
